filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0131_rotation_90.jpg,binary_hsv,True,True,22461,46.41,231.61,5.36,18.55,22.0,14.77,1477.28
burn_0131_brightness_increase.jpg,binary_hsv,True,True,53499,105.68,292.64,21.33,9.64,22.5,33.64,3363.9
burn_0131_brightness_decrease.jpg,binary_hsv,True,True,22834,49.4,236.46,18.98,6.7,21.5,15.72,1572.45
burn_0180_rotation_90.jpg,binary_hsv,True,True,24785,11.22,69.73,8.17,3.23,47.0,3.57,357.14
burn_0180_brightness_increase.jpg,binary_hsv,True,True,27005,11.97,75.46,3.2,8.08,47.5,3.81,381.02
burn_0092_horizontal_flip.jpg,binary_hsv,True,True,149738,43.75,114.96,8.62,8.75,58.5,13.93,1392.61
burn_0092_vertical_flip.jpg,binary_hsv,True,True,149734,43.75,113.87,8.62,8.75,58.5,13.93,1392.61
burn_0092_rotation_90.jpg,binary_hsv,True,True,149615,43.72,92.51,8.75,8.58,58.5,13.92,1391.65
burn_0092_brightness_increase.jpg,binary_hsv,True,True,166804,46.33,97.89,8.53,8.53,60.0,14.75,1474.73
burn_0092_brightness_decrease.jpg,binary_hsv,True,True,148910,44.27,111.28,8.69,8.83,58.0,14.09,1409.16
burn_0157_horizontal_flip.jpg,binary_hsv,True,True,1678,3.47,10.24,1.91,2.32,22.0,1.1,110.45
burn_0157_vertical_flip.jpg,binary_hsv,True,True,1694,3.5,10.24,1.91,2.32,22.0,1.11,111.41
burn_0157_rotation_90.jpg,binary_hsv,True,True,1694,3.5,11.12,2.41,2.0,22.0,1.11,111.41
burn_0157_brightness_increase.jpg,binary_hsv,True,True,8158,16.11,63.03,3.07,5.16,22.5,5.13,512.8
burn_0157_brightness_decrease.jpg,binary_hsv,True,True,1661,3.59,10.55,1.95,2.28,21.5,1.14,114.27
burn_0013_horizontal_flip.jpg,binary_hsv,True,True,81725,194.47,317.85,23.41,24.98,20.5,61.9,6190.17
burn_0013_vertical_flip.jpg,binary_hsv,True,True,81739,194.5,315.81,23.41,24.98,20.5,61.91,6191.13
burn_0013_rotation_90.jpg,binary_hsv,True,True,81832,194.72,323.16,24.98,23.41,20.5,61.98,6198.13
burn_0013_brightness_increase.jpg,binary_hsv,True,True,83206,197.99,309.0,23.41,24.98,20.5,63.02,6302.22
burn_0013_brightness_decrease.jpg,binary_hsv,True,True,81949,204.87,215.93,24.0,25.6,20.0,65.21,6521.21
burn_0174_brightness_decrease.jpg,binary_hsv,True,True,223597,3493.7,393.83,64.0,64.0,8.0,1112.08,111207.92
burn_0162_brightness_increase.jpg,binary_hsv,True,False,196907,1627.33,485.44,46.55,46.55,11.0,518.0,51799.52
burn_0162_brightness_decrease.jpg,binary_hsv,True,True,190125,164.47,167.96,15.06,15.06,34.0,52.35,5235.24
burn_0136_horizontal_flip.jpg,binary_hsv,True,True,206078,62.33,106.96,8.9,8.77,57.5,19.84,1984.03
burn_0136_vertical_flip.jpg,binary_hsv,True,True,206125,61.27,111.59,8.83,8.69,58.0,19.5,1950.28
burn_0136_rotation_90.jpg,binary_hsv,True,True,206132,62.35,107.32,8.77,8.9,57.5,19.85,1984.66
burn_0136_brightness_increase.jpg,binary_hsv,True,True,212888,61.16,57.31,8.68,8.54,59.0,19.47,1946.78
burn_0136_brightness_decrease.jpg,binary_hsv,True,True,206016,63.41,109.89,8.98,8.84,57.0,20.18,2018.4
burn_0179_horizontal_flip.jpg,binary_hsv,True,True,150947,47.29,75.47,8.21,8.5,56.5,15.05,1505.29
burn_0179_vertical_flip.jpg,binary_hsv,True,False,150903,47.27,76.36,8.21,8.5,56.5,15.05,1504.65
burn_0179_rotation_90.jpg,binary_hsv,True,False,151009,47.3,81.08,8.5,8.21,56.5,15.06,1505.61
burn_0179_brightness_increase.jpg,binary_hsv,True,False,150976,47.29,77.95,8.21,8.5,56.5,15.05,1505.29
burn_0179_brightness_decrease.jpg,binary_hsv,True,True,150882,48.11,76.92,8.29,8.57,56.0,15.31,1531.39
burn_0167_horizontal_flip.jpg,binary_hsv,True,True,45957,94.95,206.92,18.91,9.45,22.0,30.22,3022.35
burn_0167_vertical_flip.jpg,binary_hsv,True,True,46019,95.08,206.19,18.91,9.45,22.0,30.26,3026.49
burn_0167_rotation_90.jpg,binary_hsv,True,True,45996,95.03,210.09,9.45,18.91,22.0,30.25,3024.9
burn_0167_brightness_increase.jpg,binary_hsv,True,True,77023,152.14,204.15,22.18,10.31,22.5,48.43,4842.77
burn_0167_brightness_decrease.jpg,binary_hsv,True,True,44602,96.49,214.09,18.98,9.67,21.5,30.71,3071.37
burn_0006_horizontal_flip.jpg,binary_hsv,True,True,220858,88.34,77.09,10.08,10.24,50.0,28.12,2811.95
burn_0006_vertical_flip.jpg,binary_hsv,True,True,220845,88.34,77.65,10.08,10.24,50.0,28.12,2811.95
